Reference Key;Default Language;pl
msg.meeting.slot.configuration.description;Configure your availability for meetings during the event. Event participants can choose to book meetings with you during this time. The current duration set for each meeting slot is {duration} minutes. You can change this in your meeting settings.;Skonfiguruj swoją dostępność na spotkania podczas wydarzenia. Uczestnicy wydarzenia mogą rezerwować z Tobą spotkania w tym czasie. Obecnie każde spotkanie trwa {duration} minut. Możesz to zmienić w ustawieniach spotkań.
lbl.add.time;Add Time;Dodaj czas
msg.error.appointment.slot.cannot.deleted;The appointment cannot be deleted as the meeting is either already started or completed.;Nie możesz usunąć spotkania, ponieważ już się rozpoczęło lub zakończyło.
msg.error.meeting.room.unavailable;Meeting room is not available;Sala spotkań niedostępna
lbl.back.to.all.chats;Back to All Chats;Powrót do wszystkich czatów
lbl.new.messages;New Messages;Nowe wiadomości
lbl.meeting.with;Meeting with {name};Spotkanie z {name}
lbl.meeting.with.participant;Meeting with Participant;Spotkanie z uczestnikiem
lbl.your.meeting.with.ended;Your Meeting with {name} is Ended;Twoje spotkanie z {name} zostało zakończone
lbl.available.slots;Available slots({slotCount});Dostępne miejsca ({slotCount})
lbl.book.meeting;Book Meeting;Zarezerwuj spotkanie
msg.success.slot.booked;Appointment booked;Rezerwacja potwierdzona
msg.no.appointments.created;No appointments created;Nie utworzono żadnych spotkań
msg.select.available.slot.confirm.meeting.info;Select a slot if available below to request for a meeting;Wybierz dostępny termin poniżej, aby poprosić o spotkanie
msg.error.slot.booked;Sorry, the appointment was not booked. Please try again later.;Przepraszam, nie udało się zarezerwować terminu. Spróbuj ponownie później.
msg.meeting.ended.with;Your meeting with {name} has ended;Twoje spotkanie z {name} zostało zakończone
msg.error.meeting.ended;Sorry, the meeting couldn't be ended. Please try again later.;Przepraszam, nie udało się zakończyć wydarzenia. Spróbuj ponownie później.
msg.error.fetch.meeting.details;Sorry, the meeting details couldn't be loaded. Please try again later.;Przepraszam, nie udało się załadować szczegółów wydarzenia. Spróbuj ponownie później.
msg.error.slot.already.exists;Slot start time conflicts with already created slots;Godzina rozpoczęcia slotu koliduje z już utworzonymi slotami
msg.meeting.ended;Meeting ended;Wydarzenie zakończone
msg.meeting.room.start.chat.empty;Start conversation with the other member in the meeting room;Rozpocznij rozmowę z drugim uczestnikiem w sali spotkań
msg.meeting.room.leave.and.join.session.title;Leave meeting room and join session?;Opuścić pokój spotkań i dołączyć do sesji?
msg.meeting.room.leave.and.join.session.content;You are about to leave this meeting room and join the <strong>{sessionName}</strong> session.;Zaraz opuścisz to spotkanie i dołączysz do sesji <strong>{sessionName}</strong>.
msg.meeting.room.leave.and.start.session.title;Leave meeting room and start session?;Opuścić pokój spotkań i rozpocząć sesję?
msg.meeting.room.leave.and.start.session.content;You're about to leave a lounge and start the <strong>{sessionName}</strong> session.;Zaraz opuścisz strefę lounge i rozpoczniesz sesję <strong>{sessionName}</strong>.
msg.meeting.room.leave.and.restart.session.content;You are about to leave a meeting room and restart the <strong>{sessionName}</strong> session.;Zaraz opuścisz pokój spotkań i zrestartujesz sesję <strong>{sessionName}</strong>.
msg.meeting.room.leave.and.enter.booth.title;Leave meeting room and enter booth?;Opuścić pokój spotkań i wejść do budki?
msg.meeting.room.leave.and.enter.booth.content;You are about to leave a meeting room and join the <strong>{boothName}</strong> booth.;Zaraz opuścisz pokój spotkań i dołączysz do stoiska <strong>{boothName}</strong>.
msg.meeting.room.leave.and.join.lounge.title;Leave meeting and join lounge?;Opuścić wydarzenie i dołączyć do strefy lounge?
msg.meeting.room.leave.and.join.lounge.sub;You're about to leave the meeting and join the <strong>{tableName}</strong> lounge.;Zaraz opuścisz spotkanie i dołączysz do strefy lounge <strong>{tableName}</strong>.
lbl.leave.meeting.room;Leave Meeting Room?;Opuścić pokój spotkań?
msg.meeting.room.leave.and.join.new.meeting.room.content;You are about to leave the meeting room  and join the <strong>{roomName}</strong> meeting room.;Zaraz opuścisz pokój spotkań i dołączysz do pokoju spotkań <strong>{roomName}</strong>.
msg.leave.meeting.room.content;You are about to leave an ongoing meeting.;Zaraz opuścisz trwające spotkanie.
msg.meeting.room.end.content;You are about to end an ongoing meeting with {userName}. The action will stop your interaction in this room;Zamierzasz zakończyć trwające spotkanie z {userName}. Ta akcja zakończy Twoją interakcję w tym pokoju
msg.success.meeting.preferences.updated;Meeting preferences updated;Zaktualizowałeś preferencje spotkania
msg.error.meeting.slot.delete;Unable to delete the meeting slot. Please try again later;Nie mogę usunąć tego terminu spotkania. Spróbuj ponownie później
lbl.session.background.and.ambience;Session Background and Ambience;Tło i atmosfera sesji
msg.lounge.background.and.ambience;Lounge background and ambience;Tło i atmosfera strefy lounge
lbl.cancel.meeting;Cancel Meeting?;Anulować spotkanie?
msg.confirm.cancel.meeting;This action will cancel this meeting between you and {meetingWith};Ta akcja anuluje to spotkanie między tobą a {meetingWith}
lbl.to;To;Do
msg.meeting.duration.description;All the meetings will be automatically set to the duration provided here. You can always choose to extend or end a meeting beyond the planned duration.;Wszystkie spotkania będą automatycznie ustawione na podany tutaj czas trwania. Zawsze możesz przedłużyć lub zakończyć spotkanie poza zaplanowanym czasem.
lbl.availability;Availability;Dostępność
lbl.meeting.duration;Meeting Duration;Czas trwania spotkania
msg.error.invalid.meeting.availability.time;The end time is earlier than the start time. Please set a valid time slot.;Czas zakończenia jest wcześniejszy niż czas rozpoczęcia. Ustaw poprawny przedział czasowy.
msg.success.meeting.availability.timing.save;Meeting availability saved;Dostępność spotkania zapisana
msg.error.meeting.availability.timing.save;Meeting availability wasn't saved. Please try again later.;Dostępność spotkania nie została zapisana. Spróbuj ponownie później.
msg.error.meeting.availability.end.time.invalid;The time slot should be greater than {meetingDuration} minutes which is the default meeting duration you've set. Please configure the time slot again.;Przedział czasowy powinien być dłuższy niż {meetingDuration} minut, czyli domyślny czas trwania spotkania, który ustawiłeś. Skonfiguruj ponownie przedział czasowy.
msg.error.user.meeting.availability.exists;You've already chosen this time to be available for meetings. Please pick another time slot.;Już wybrałeś ten termin na dostępność na spotkania. Wybierz inny termin.
msg.no.upcoming.meetings;You've no upcoming meetings;Nie masz nadchodzących spotkań
msg.no.completed.meetings;Your completed meetings will be displayed here;Twoje zakończone spotkania będą tu wyświetlane
msg.no.meetings;Your meetings will be displayed here;Twoje spotkania będą tu wyświetlane
lbl.remove;Remove;Usuń
msg.error.past.meeting.availability.time;The time slot should be after the current time. Please configure the time slot again.;Przedział czasowy musi być po aktualnym czasie. Skonfiguruj go ponownie.
msg.error.time.slot.exceeds.day;The time slot you configured exceeds the day. Please configure the time slot again.;Wybrany przedział czasowy wykracza poza dzień. Skonfiguruj przedział ponownie.
lbl.date.created;Date Created;Data utworzenia
lbl.user.login.confirm;Are You {fullName} ?;Czy jesteś {fullName}?
lbl.user.login.accept;Join Event Here;Dołącz do wydarzenia tutaj
lbl.user.login.reject;Sign in Again;Zaloguj się ponownie
msg.user.login.confirm;You are signed in as {fullName} and you're viewing this event from multiple browsers or devices.;Jesteś zalogowany jako {fullName} i oglądasz to wydarzenie na kilku przeglądarkach lub urządzeniach.
msg.user.login.confirm.subcontent;If this is you, you can join the event from this browser. If this is not you, sign in again with your credentials.;Jeśli to Ty, możesz dołączyć do wydarzenia z tej przeglądarki. Jeśli nie, zaloguj się ponownie swoimi danymi.
lbl.date.created;Date Created;Data utworzenia
lbl.appointments;Appointments;Wizyty
lbl.all.appointments;All Appointments;wszystkie spotkania
lbl.dashboard;Dashboard;Panel główny
lbl.date.created;Date Created;Data utworzenia
msg.error.time.slot.exceeds.day;The time slot you configured exceeds the day. Please configure the time slot again.;Wybrany przedział czasu wykracza poza dzień. Skonfiguruj przedział czasu ponownie.
msg.session.auto.end.time.alert;This session will end in <strong>{timeInstant}</strong> since you are in <strong>{planName}</strong> plan;Ta sesja zakończy się za <strong>{timeInstant}</strong>, ponieważ jesteś w planie <strong>{planName}</strong>
msg.session.auto.end.moment.alert;This session will end soon since you are in <strong>{planName}</strong> plan;Ta sesja wkrótce się zakończy, ponieważ jesteś w planie <strong>{planName}</strong>
msg.recordring.stroage.almost.reached.warning;You have almost reached the storage limit for session recordings in this portal. Sessions will not be recorded when storage is full. Please contact {supportEmail} to get more storage.;Prawie osiągnąłeś limit miejsca na nagrania sesji w tym portalu. Gdy miejsce się skończy, sesje nie będą nagrywane. Skontaktuj się z {supportEmail}, aby uzyskać więcej miejsca.
lbl.rtmp.stream;Rtmp Stream;Strumień Rtmp
lbl.go.live;Go Live;Rozpocznij transmisję
lbl.stop.stream;Stop Stream;Zatrzymaj transmisję
msg.rtmp.start.success;Rtmp stream started for {laneName};Rozpoczęto strumień Rtmp dla {laneName}
msg.rtmp.stop.success;Rtmp stream stopped for {laneName};Strumień RTMP zatrzymany dla {laneName}
msg.stop.lane.rtmp.stream.confirm;This action will stop the rtmp stream in {laneName}. Are you sure you want to continue?;Ta akcja zatrzyma strumień rtmp w {laneName}. Czy na pewno chcesz kontynuować?
msg.currently.no.active.sessions.found;There are currently no live or running sessions;Obecnie brak aktywnych lub trwających sesji
msg.no.meeting.slot.available;No meetings slots available;Brak dostępnych terminów spotkań
msg.success.meeting.cancelled;Meeting cancelled;Wydarzenie odwołane
msg.session.projector.window.title;Zoho Backstage Session Broadcast;Transmisja sesji Zoho Backstage
lbl.hall.projection.screen;Projection Screen;ekran projekcyjny
lbl.close.screen;Close Screen;Zamknij ekran
lbl.unmute.session.audio;Unmute Session;Włącz dźwięk sesji
msg.unmute.session.audio.confirm;Are you sure you want to unmute? Please ensure you are connected to headphones for a better experience;Na pewno chcesz wyłączyć wyciszenie? Upewnij się, że jesteś podłączony do słuchawek dla lepszego doświadczenia
lbl.select.window;Select Window;Wybierz okno
lbl.close.projection.screen;Close Projection Screen?;Zamknąć ekran projekcji?
msg.stop.projection.screen.sharing;Stop sharing projection screen?;Zatrzymać udostępnianie ekranu projekcji?
msg.hall.projector.screen.close.confirm;This action will close the projector screen and stop sharing it with attendees in the hall and on their devices.;Ta akcja zamknie ekran projektora i przestanie go udostępniać uczestnikom na sali oraz na ich urządzeniach.
lbl.move.to.stage;Move to Stage;Przenieś do etapu
lbl.remove.from.stage;Remove from Stage;Usuń ze sceny
lbl.presenter.streams;Presenter Streams;Strumienie prezentera
lbl.screen.share.streams;Screen Share Streams;Strumienie udostępniania ekranu
lbl.add.screen.share;Add Screen Share;Dodaj udostępnianie ekranu
msg.no.sessions.for.selected.day;No sessions for the selected day;Brak sesji na wybrany dzień
msg.no.session.host.empty;You don't have permission to project the session screen in halls as you are not a host for sessions in this event;Nie masz uprawnień do wyświetlania ekranu sesji w salach, ponieważ nie jesteś hostem sesji na tym wydarzeniu
msg.hall.share.screen.for.attendees.helptext;Broadcast your screen to all attendees who join the session.;Udostępnij ekran wszystkim uczestnikom dołączającym do sesji.
msg.stop.hall.screen.share.end.confirm;This action will stop sharing the screen with attendees. They will not be able to access session presentations or materials via the web or mobile app.;Ta akcja zakończy udostępnianie ekranu uczestnikom. Nie będą mogli uzyskać dostępu do prezentacji ani materiałów sesji przez stronę internetową lub aplikację mobilną.
msg.no.projector.screen.hall.empty.title;No projection screen opened for the {hallName} hall at the moment;Nie otwarto teraz ekranu projekcyjnego dla sali {hallName}
msg.projector.screen.active.helptext;Projection screen is active in another window;Ekran projekcyjny jest aktywny w innym oknie
msg.hall.projector.screen.info;The projection screen will open a new window. This window can be shared to show session presentations and materials to attendees.;Ekran projekcyjny otworzy nowe okno. To okno możesz udostępnić, aby pokazać prezentacje i materiały sesji uczestnikom.
msg.multiple.hall.projection.screen.restrict.empty;You can only share the projection screen to one hall from this system. Please close the projector in the {hall1} hall to share the projection screen in the {hall2} hall.;Możesz udostępnić ekran projekcji tylko do jednej sali z tego systemu. Zamknij projektor w sali {hall1}, aby udostępnić ekran projekcji w sali {hall2}.
lbl.disconnect.session;Disconnect Session;Odłącz sesję
msg.direct.chat.no.users.available;No users available for direct chat;Brak dostępnych użytkowników do czatu bezpośredniego
lbl.continue.with.video;Continue with Video;Kontynuuj z wideo
