Reference Key;Default Language;pl
msg.live.coming.forth.sessions;Live and coming forth sessions;
msg.unable.to.share.screen;Unable to share your screen;
lbl.open.system.pref;Open System Preferences;
msg.mac.os.screen.share.perm.desc;If you're on MacOS, open system preferences, go to Security and privacy and grant access to screen recording;
lbl.share.ppt.window.warn;Share Window to Deliver Presentation?;
lbl.share.window;Share Window;
lbl.share.window.to.audience;Share Window to Audience?;
msg.room.share.ppt.window.ins1;Select the <strong>Presentation Window</strong> in the <i>Screen share</i> popup to share only your presentation and avoid sharing other content on your screen or window.;
msg.room.share.ppt.ins2;Next, go to the Virtual space in Zoho Backstage to deliver your presentation with the help of session tools.;
msg.room.ppt.window.not.share.warn;It looks like you haven't selected the <strong>Presentation Window</strong> in the <i>Screen share</i> popup. It is recommended to only share the window in which your presentation is displayed so that other content on your screen or window, which is not essential for your session, is not shared to your audience. Please select the option you would like to proceed with.;
msg.proceed.selected.screen.share;Proceed with selected option;
lbl.event.ambience;Event Ambience;
lbl.direct.messages;Direct Messages;
msg.back.to.all.participants;Back to all participants;
lbl.chat.with.participant;Chat with Participant;
lbl.schedule.meeting;Schedule Meeting;
lbl.lounge;Lounge;
lbl.event;Event;
msg.current.user.direct.msg.turned.off;You've turned off direct messages in your privacy preferences. Enable it to start chatting.;
msg.user.direct.msg.turned.off;{userName} has turned off direct messages in their privacy preferences;
msg.success.event.user.preference.save;Preferences saved;
msg.error.event.user.preference.save;We are unable to save your preference;
msg.direct.chat.desc;Allow event participants to send direct messages through chat;
msg.user.meetings.setting.desc;Configure your availability and allow event participants to schedule meetings with you;
msg.make.profile.public.desc;Allow event participants to view your profile page including your full name, company, and title. If your profile visibility is turned off, participants won't be able to see your profile.;
lbl.privacy.preferences;Privacy Preferences;
lbl.one.on.one.meetings;1-on-1 Meetings;
lbl.make.profile.public;Make Profile Public;
lbl.my.meetings;My Meetings;
lbl.upcoming.meetings;Upcoming Meetings;
lbl.completed.meetings;Completed Meetings;
lbl.join.meeting;Join Meeting;
lbl.meetings;Meetings;
lbl.availability.meetings;Availability for Meetings;
lbl.meeting.slot.configuration;Meeting Slot Configuration;
msg.meeting.availability.description;Let participants know that you'll be available for 1-on-1 meetings;
msg.meeting.slot.configuration.description;Configure your availability for meetings during the event. Event participants can choose to book meetings with you during this time. The current duration set for each meeting slot is {duration} minutes. You can change this in your meeting settings.;
lbl.add.time;Add Time;
msg.error.appointment.slot.cannot.deleted;The appointment cannot be deleted as the meeting is either already started or completed.;
msg.error.meeting.room.unavailable;Meeting room is not available;
lbl.back.to.all.chats;Back to All Chats;
lbl.new.messages;New Messages;
lbl.meeting.with;Meeting with {name};
lbl.meeting.with.participant;Meeting with Participant;
lbl.your.meeting.with.ended;Your Meeting with {name} is Ended;
lbl.available.slots;Available slots({slotCount});
lbl.book.meeting;Book Meeting;
msg.success.slot.booked;Appointment booked;
msg.no.appointments.created;No appointments created;
msg.select.available.slot.confirm.meeting.info;Select a slot if available below to request for a meeting;
msg.error.slot.booked;Sorry, the appointment was not booked. Please try again later.;
msg.meeting.ended.with;Your meeting with {name} has ended;
msg.error.meeting.ended;Sorry, the meeting couldn't be ended. Please try again later.;
msg.error.fetch.meeting.details;Sorry, the meeting details couldn't be loaded. Please try again later.;
msg.error.slot.already.exists;Slot start time conflicts with already created slots;
msg.meeting.ended;Meeting ended;
msg.meeting.room.start.chat.empty;Start conversation with the other member in the meeting room;
msg.meeting.room.leave.and.join.session.title;Leave meeting room and join session?;
msg.meeting.room.leave.and.join.session.content;You are about to leave this meeting room and join the <strong>{sessionName}</strong> session.;
msg.meeting.room.leave.and.start.session.title;Leave meeting room and start session?;
msg.meeting.room.leave.and.start.session.content;You're about to leave a lounge and start the <strong>{sessionName}</strong> session.;
msg.meeting.room.leave.and.restart.session.content;You are about to leave a meeting room and restart the <strong>{sessionName}</strong> session.;
msg.meeting.room.leave.and.enter.booth.title;Leave meeting room and enter booth?;
msg.meeting.room.leave.and.enter.booth.content;You are about to leave a meeting room and join the <strong>{boothName}</strong> booth.;
msg.meeting.room.leave.and.join.lounge.title;Leave meeting and join lounge?;
msg.meeting.room.leave.and.join.lounge.sub;You're about to leave the meeting and join the <strong>{tableName}</strong> lounge.;
lbl.leave.meeting.room;Leave Meeting Room?;
msg.meeting.room.leave.and.join.new.meeting.room.content;You are about to leave the meeting room  and join the <strong>{roomName}</strong> meeting room.;
msg.leave.meeting.room.content;You are about to leave an ongoing meeting.;
msg.meeting.room.end.content;You are about to end an ongoing meeting with {userName}. The action will stop your interaction in this room;
msg.success.meeting.preferences.updated;Meeting preferences updated;
msg.error.meeting.slot.delete;Unable to delete the meeting slot. Please try again later;
lbl.session.background.and.ambience;Session Background and Ambience;
msg.lounge.background.and.ambience;Lounge background and ambience;
lbl.cancel.meeting;Cancel Meeting?;
msg.confirm.cancel.meeting;This action will cancel this meeting between you and {meetingWith};
lbl.to;To;
msg.meeting.duration.description;All the meetings will be automatically set to the duration provided here. You can always choose to extend or end a meeting beyond the planned duration.;
lbl.availability;Availability;
lbl.meeting.duration;Meeting Duration;
msg.error.invalid.meeting.availability.time;The end time is earlier than the start time. Please set a valid time slot.;
msg.success.meeting.availability.timing.save;Meeting availability saved;
msg.error.meeting.availability.timing.save;Meeting availability wasn't saved. Please try again later.;
msg.error.meeting.availability.end.time.invalid;The time slot should be greater than {meetingDuration} minutes which is the default meeting duration you've set. Please configure the time slot again.;
msg.error.user.meeting.availability.exists;You've already chosen this time to be available for meetings. Please pick another time slot.;
msg.no.upcoming.meetings;You've no upcoming meetings;
msg.no.completed.meetings;Your completed meetings will be displayed here;
msg.no.meetings;Your meetings will be displayed here;
lbl.remove;Remove;
msg.error.past.meeting.availability.time;The time slot should be after the current time. Please configure the time slot again.;
msg.error.time.slot.exceeds.day;The time slot you configured exceeds the day. Please configure the time slot again.;
lbl.date.created;Date Created;
lbl.user.login.confirm;Are You {fullName} ?;
lbl.user.login.accept;Join Event Here;
lbl.user.login.reject;Sign in Again;
msg.user.login.confirm;You are signed in as {fullName} and you're viewing this event from multiple browsers or devices.;
msg.user.login.confirm.subcontent;If this is you, you can join the event from this browser. If this is not you, sign in again with your credentials.;
lbl.date.created;Date Created;
lbl.appointments;Appointments;
lbl.all.appointments;All Appointments;
lbl.dashboard;Dashboard;
lbl.date.created;Date Created;
msg.error.time.slot.exceeds.day;The time slot you configured exceeds the day. Please configure the time slot again.;
msg.session.auto.end.time.alert;This session will end in <strong>{timeInstant}</strong> since you are in <strong>{planName}</strong> plan;
msg.session.auto.end.moment.alert;This session will end soon since you are in <strong>{planName}</strong> plan;
msg.recordring.stroage.almost.reached.warning;You have almost reached the storage limit for session recordings in this portal. Sessions will not be recorded when storage is full. Please contact {supportEmail} to get more storage.;
lbl.rtmp.stream;Rtmp Stream;
lbl.go.live;Go Live;
lbl.stop.stream;Stop Stream;
msg.rtmp.start.success;Rtmp stream started for {laneName};
msg.rtmp.stop.success;Rtmp stream stopped for {laneName};
msg.stop.lane.rtmp.stream.confirm;This action will stop the rtmp stream in {laneName}. Are you sure you want to continue?;
msg.currently.no.active.sessions.found;There are currently no live or running sessions;
msg.no.meeting.slot.available;No meetings slots available;
msg.success.meeting.cancelled;Meeting cancelled;
msg.session.projector.window.title;Zoho Backstage Session Broadcast;
lbl.hall.projection.screen;Projection Screen;
lbl.close.screen;Close Screen;
lbl.unmute.session.audio;Unmute Session;
msg.unmute.session.audio.confirm;Are you sure you want to unmute? Please ensure you are connected to headphones for a better experience;
lbl.select.window;Select Window;
lbl.close.projection.screen;Close Projection Screen?;
msg.stop.projection.screen.sharing;Stop sharing projection screen?;
msg.hall.projector.screen.close.confirm;This action will close the projector screen and stop sharing it with attendees in the hall and on their devices.;
lbl.move.to.stage;Move to Stage;
